"year";"title";"score";"abstract";"Director";"cast";"genres";"link"
2023;"Barbie";3,74;"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.";"Greta Gerwig";"Margot Robbie; Ryan Gosling; America Ferrera; Ariana Greenblatt; Issa Rae; Kate McKinnon; Alexandra Shipp; Emma Mackey; Hari Nef; Sharon Rooney; Ana Cruz Kayne; Ritu Arya; Dua Lipa; Nicola Coughlan; Emerald Fennell; Simu Liu; Kingsley Ben-Adir; Ncuti Gatwa; Scott Evans; John Cena; Michael Cera; Rhea Perlman; Helen Mirren; Will Ferrell; Connor Swindells; Jamie Demetriou; Andrew Leung; Will Merrick; Zheng Xi Yong; Asim Chaudhry; Ray Fearon; Erica Ford; Hannah Khalique-Brown; Mette; Marisa Abela; Lucy Boynton; Rob Brydon; Tom Stourton; Chris Taylor; David Mumeni; Olivia Brody; Isla Ashworth; Eire Farrell; Daisy Duczmal; Genvieve Toussaint; Isabella Nightingale-Mercado; Millie-Rose Crossley; Anvita Nehru; Kayla-Mai Alvares; Luke Mullen; Patrick Luwis; Mac Brandt; Paul Jurewicz; Oraldo Austin; Benjamin Arthur; Carlos Jacott; Adam Ray; George Basil; Ptolemy Slocum; Deb Hiett; James Leon; Oliver Vaquer; Tony Noto; Christopher T. Wood; Ann Roth; Annie Mumolo; Elise Gallup; McKenna Roberts; Brylee Hsu; Sasha Milstein; Lauren Holt; Sterling Jones; Ryan Piers Williams; Jamaal Lewis; Kathryn Akin; Grace Jabbari; Ira Mandela Siobhan; Lisa Spencer; Naomi Weijand; Tom Clark; Ireanne Abenoja; Davide Albonetti; Charlotte Anderson; Michael Anderson; Rico Bakker; James Bamford; William John Banks; Callum Bell; Adam Blaug; Mason Boyce; Taylor Bradshaw; Alex Brown; Miekaile Browne; Lewis Calcutt; Nikkita Chadha; Oliver Chapman; Megan Charles; Callum Clack; Danny Coburn; Kat Collings; Adam Crossley; Sia Dauda; Gustave Die; Grace Durkin; Joelle Dyson; Lewis Easter; Onyemachi Ejimofor; Cameron Everitt; Luke Field-Wright; Sasha Flesch; Adam Fogarty; Michael John French; Anna-Kay Gayle; Charlie Goddard; Marlie Goddard; Ellis Harman; Yasmin Harrison; Josh Hawkins; James Healy; Tim Hodges; Mira Jebari; Beccy Jones; Thomas Kalek; Lily Laight; Maiya Leeke; Cristian Liberti; Prodromos Marneros; Nahum McLean; Jordan Melchor; Ramzan Miah; Andy Monaghan; Florivaldo Mossi; Hannah Nazareth; Grant Neal; Freja Nicole; Shaun Niles; Ella Nonini; Jack William Parry; Josie Pocock; Barnaby Quarendon; Redmand Rance; Zara Richards; Liam Riddick; Alana Rixon; Adam Paul Robertson; Kingdom Sibanda; Sebastian Skov Andersen; Aaron J. Smith; Joshua Smith; Lucia-Rose Sokolowski; Janine Somcio; Alex J Sturman; Callum Sterling; Todd Talbot; Charles Tatman; Grant Thresh; Connor Tidman; Wahchi Vong; Jerry Wan; Sasha Wareham; Stan West; Oliver Wheeler; Josh Wild; Joe Wolstenholme; Richard Womersley; Ashley Young; Chanel Stewart; Lulu Fitzgerald; Noah Pierre";"Comedy; Adventure";"https://letterboxd.com/film/barbie/"
2022;"Everything Everywhere All at Once";4,26;"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what’s important to her by connecting with the lives she could have led in other universes.";"Daniel Scheinert";"Michelle Yeoh; Stephanie Hsu; Ke Huy Quan; James Hong; Jamie Lee Curtis; Tallie Medel; Jenny Slate; Harry Shum Jr.; Biff Wiff; Sunita Mani; Aaron Lazar; Brian Le; Andy Le; Narayana Cabral; Chelsey Goldsmith; Craig Henningsen; Anthony Molinari; Dan Brown; Anthony N.; Cara Marie Chooljian; Randall Archer; Efka Kvaraciejus; Peter Banifaz; Audrey Wasilewski; Li Jing; Dylan Henry Lau; Boon Pin Koh; Timothy Eulich; Daniel Scheinert; Michiko Nishiwaki; Jane Lui; Jason Hamer; Timothy Ralston; Hiroshi Yada; Randy Newman; Amanda MacLeod; Waymond Lee";"Science Fiction; Adventure; Comedy; Action";"https://letterboxd.com/film/everything-everywhere-all-at-once/"
2023;"Oppenheimer";4,18;"The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.";"Christopher Nolan";"Cillian Murphy; Emily Blunt; Matt Damon; Robert Downey Jr.; Florence Pugh; Josh Hartnett; Casey Affleck; Rami Malek; Kenneth Branagh; Benny Safdie; Jason Clarke; Dylan Arnold; Tom Conti; James D'Arcy; David Dastmalchian; Dane DeHaan; Alden Ehrenreich; Tony Goldwyn; Jefferson Hall; David Krumholtz; Matthew Modine; Scott Grimes; Kurt Koehler; John Gowans; Macon Blair; Harry Groener; Gregory Jbara; Ted King; Tim DeKay; Steven Houska; Petrie Willink; Matthias Schweighöfer; Alex Wolff; Josh Zuckerman; Rory Keane; Michael Angarano; Emma Dumont; Sadie Stratton; Britt Kyle; Guy Burnet; Tom Jenkins; Louise Lombard; Michael Andrew Baker; Jeff Hephner; Olli Haaskivi; David Rysdahl; Josh Peck; Jack Quaid; Brett DelBuono; Gustaf Skarsgård; James Urbaniak; Trond Fausa Aurvåg; Devon Bostick; Danny Deferrari; Christopher Denham; Jessica Erin Martin; Ronald Auguste; Máté Haumann; Olivia Thirlby; Jack Cutmore-Scott; Harrison Gilbertson; James Remar; Will Roberts; Pat Skipper; Steve Coulter; Jeremy John Wells; Sean Avery; Adam Kroeger; Drew Kenney; Bryce Johnson; Flora Nolan; Kerry Westcott; Christina Hogue; Clay Bunker; Tyler Beardsley; Maria Teresa Zuppetta; Kate French; Gary Oldman; Hap Lawrence; Meg Schimelpfenig";"Drama; History";"https://letterboxd.com/film/oppenheimer-2023/"
2024;"The Substance";3,77;"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.";"Coralie Fargeat";"Demi Moore; Margaret Qualley; Dennis Quaid; Edward Hamilton-Clark; Gore Abrams; Oscar Lesage; Christian Erickson; Robin Greer; Tom Morton; Hugo Diego Garcia; Daniel Knight; Jonathon Carley; Jiselle Henderkott; Akil Wingate; Vincent Colombe; Billy Bentley; Lennard Ridsdale; Jordan Ford Silver; Oscar Salem; Viviane Bossina; Matthew Luret; Jana Bittnerová; Olivier Raynal; Tiffany Hofstetter; Nicolas Royer; Nathan Rippy; Manon Arizmendi; Virginie Kotlinski; Brett Gillen; Charlotte Marquardt; Léa Hengl; Gaëlle Raymond; Claire Lemaire; Lila Boughoufala; Aurélien Lorgnier; Ivan Sellier; Philip Schurer; Christian Bourmier; Martin Graham; Christian Bordeleau; Patrick Hamel; Didier Dhondt; Jacques-Yves Dorges; Jean-Claude Matthey; Olivier Jarcin; Jean-Luc Magneron; Charlotte Murray; Aaron Kahn; Gabriela Arnon; Nancy Josephson Lahoussine; Andrew Eldridge; Denise Powers; Bryan Jones; Adam Carage; Maria McClurg; Andrew Desmond; Rebecca Lafont; Laura Puech; Ryan Chidester; Cécile Vogt; Yannick Guérin; Jean Miel; Paul Descoings; Benoit Lévêque; Arthur Molinet; Manon Sachot; Bastien Jorelle; Kelly Hoarau; Michel Juskiewicz; Louise Greggory; Christophe Sartirano; Florent Torres; Romain Caldeira; Barthelemy Thomas; Axel Baille; Ashley Lambert; Ranjani Brow; Chase Fein; Shane Sweet; William Calvert; Michael Corbett; Stephen Apostolina; Yann Bean; Audjyan Alcide; Jonathan Jenvrin; Mimi Maury; Amelye Solange; Kévin Table; Laura Boera; Cissy Duc; Sophie Mercier; Marie Valton; Katrina Budzynski; Alicia Maury; Megane Adamik; Annalisa Pagnotta; Maelle Dantigny; Aleksandra Kedzierska Fontaine; Pauline Sagetat; Agustina Fitzsimons; Elena Shcheglova; Eve Marchant; Lola Donati; Kate Matthews; Ophélie Jonard; Pauline Richard; Laureen Cappelliez; Daria Panchenko; Delphine Beaulieu; Victoria Brun; Cara Chapman; Katharine Matthews; Alexandra Faget; Clémence Juville; Margot L'Entete; Hillary Sukhonos; Matthew Géczy; Namory Bakayoko; Gregory Defleur; Coralie Fargeat";"Horror; Drama; Science Fiction";"https://letterboxd.com/film/the-substance/"
2021;"Dune";3,88;"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet’s exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity’s greatest potential-only those who can conquer their fear will survive.";"Denis Villeneuve";"Timothée Chalamet; Rebecca Ferguson; Oscar Isaac; Jason Momoa; Stellan Skarsgård; Stephen McKinley Henderson; Josh Brolin; Javier Bardem; Sharon Duncan-Brewster; Chang Chen; Dave Bautista; David Dastmalchian; Zendaya; Charlotte Rampling; Babs Olusanmokun; Benjamin Clémentine; Souad Faress; Golda Rosheuvel; Roger Yuan; Seun Shote; Neil Bell; Oliver Ryan; Stephen Collins; Charlie Rawes; Richard Carter; Benjamin Dilloway; Elmi Rashid Elmi; Tachia Newall; Gloria Obianyo; Fehinti Balogun; Dora Kápolnai-Schvab; Joelle; Jimmy Walker; Paul Bullion; Milena Sidorova; János Timkó; Jean Gilpin; Marianne Faithfull; Ellen Dubin; Károly Baksai; Björn Freiberg; Balázs Megyeri; Michael Nardone; Duncan Pow; Ferenc Iván Szabó; Elemér Szatmári; Peter Sztojanov, Jr.; István Áldott";"Science Fiction; Adventure";"https://letterboxd.com/film/dune-2021/"
2022;"The Batman";4,01;"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.";"Matt Reeves";"Robert Pattinson; Zoë Kravitz; Jeffrey Wright; Colin Farrell; Paul Dano; John Turturro; Andy Serkis; Peter Sarsgaard; Barry Keoghan; Jayme Lawson; Gil Perez-Abraham; Peter McDonald; Con O'Neill; Alex Ferns; Rupert Penry-Jones; Kosha Engler; Archie Barnes; Janine Harouni; Hana Hrzic; Joseph Walker; Luke Roberts; Oscar Novak; Stella Stocker; Sandra Dickinson; Jack Bennett; Andre Nightingale; Richard James-Neale; Lorraine Tai; Joseph Balderrama; James Eeles; Angela Yeoh; Leemore Marrett Jr.; Ezra Elliott; Itoya Osagiede; Stewart Alexander; Adam Rojko Vega; Heider Ali; Marcus Onilude; Elena Saurel; Ed Kear; Sid Sagar; Amanda Blake; Todd Boyce; Brandon Bassir; Will Austin; Chabris Napier-Lawrence; Douglas Russell; Charlie Carver; Max Carver; Phil Aizlewood; Mark Killeen; Philip Shaun McGuinness; Lorna Brown; Elliot Warren; Jay Lycurgo; Stefan Race; Elijah Baker; Craige Middleburg; Akie Kotabe; Spike Fearn; Urielle Klein-Mekongo; Bronson Webb; Madeleine Gray; Ste Johnston; Arthur Lee; Parry Glasspool; Jordan Coulson; Hadas Gold; Pat Battle; Bobby Cuza; Dean Meminger; Roma Torre; Mike Capozzola; Amanda Hurwitz; Joshua Eldridge-Smith; Daniel Rainford; Nathalie Armin; Jose Palma; Kazeem Tosin Amore; Dave Simon; Rodrig Andrisan; Craig Douglas; Sophie Lamont; Kemal Shah; Mark Addison; Tiago Martins";"Crime; Mystery; Thriller";"https://letterboxd.com/film/the-batman/"
2025;"Sinners";4,13;"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.";"Ryan Coogler";"Michael B. Jordan; Hailee Steinfeld; Miles Caton; Jack O'Connell; Wunmi Mosaku; Jayme Lawson; Omar Benson Miller; Delroy Lindo; Li Jun Li; Yao; Lola Kirke; Peter Dreimanis; Buddy Guy; Saul Williams; Andrene Ward-Hammond; Tenaj L. Jackson; David Maldonado; Aadyn Encalarde; Helena Hu; Sam Malone; Ja'Quan Monroe-Henderson; Percy Bell; Emonie Ellison; Kai Thompson; Nathaniel Arcand; Mark L. Patrick; Gralen Bryant Banks; Nicoye Banks; Christian Robinson; Justin William Davis; Deneen Tyler; Michael A. Newcomer; Theodus Crane; Kendalyn Dene Breakfield; Airelle Brooks; Gabriel Cavallini; Jeremy Denzel; Le'Andre Douglas; Akeem J. Edwards; Arouna Guindo; Jarrell Hamilton; Leroy Harris Jr.; Jeoffrey Harris Jr.; Alex Huynh; Ritho Johnson; Donald Jones Jr.; Breonna Jordan; Trinity Jaden Mitchell; Ian Monroe; Cuso Mora; Winnie Mu; Jahaira Myers; Andrea Peoples; Phyouture; Faith Rockward; Ahmari Vaughn; Tyler Wilson; MD. Shinha Sarder";"Thriller; Action; Horror";"https://letterboxd.com/film/sinners-2025/"
2024;"Dune: Part Two";4,39;"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.";"Denis Villeneuve";"Timothée Chalamet; Zendaya; Rebecca Ferguson; Javier Bardem; Josh Brolin; Austin Butler; Florence Pugh; Dave Bautista; Christopher Walken; Léa Seydoux; Stellan Skarsgård; Charlotte Rampling; Souheila Yacoub; Roger Yuan; Babs Olusanmokun; Alison Halstead; Giusi Merli; Kait Tenison; Tara Breathnach; Akiko Hitomi; Imola Gáspár; Alison Adnet; Hamza Baissa; Hassan Najib; Jasper Ryan-Cater; Omar Elbooz; Abdelkarim Hussein Seli Mohamed Hassanin; Joseph Beddelem; Xavier Alba Royo; Rachid Abbad; Affif Ben Badra; Botond Bóta; Abdelaziz Boumane; Abdellah Echahbi; Zouhair Elakkari; Noureddine Hajoujou; Mohamed Mouraoui; Adil Achraf Sayd; Hamza Sayd; Hopi Grace; Havin Fathi; Kincsö Pethö; Cat Simmons; Burt Caesar; Remi Fadare; Amer El-Erwadi; Tedroy Newell; Oxa Hazel; Hajiyeva Pakiza; Leon Herbert; Sima Rostami; Yvonne Campbell; Joseph Charles; Vic Zander; Dylan Baldwin; Marcia Tucker; Nicola Brome; Kathy Owen; Huw Novelli; Moe Bar-El; Serhat Metin; Amra Mallassi; Adam Bloom; Luis Alkmim; Jordan Long; Omar A.K.; Zdeněk Dvořáček; Billy Clements; Anton Valensi; Lex Daniel; Dominic McHale; Paul Boyle; Niall White; Tony Cook; Gábor Szemán; Jonathan Gunning; Will Irvine; Alan Mehdizadeh; Rex Adams; Molly Mcowan; Ana Cilas; Kajsa Mohammar; Sára Bácsfalvi; Zsófia Kocsis; Matthew Sim; Steve Wall; Italo Amerighi; Tim Hilborne; Cecile Sinclair; Tracy Coogan; Zoe Kata Kaska; Jimmy Walker; Rand Faris; Fouad Humaidan; Manaf Irani; Dora Kápolnai-Schvab; Joelle; Anya Taylor-Joy; Peter Sztojanov, Jr.";"Adventure; Science Fiction";"https://letterboxd.com/film/dune-part-two/"
2023;"Spider-Man: Across the Spider-Verse";4,41;"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.";"Kemp Powers";"Shameik Moore; Hailee Steinfeld; Brian Tyree Henry; Luna Lauren Velez; Jake Johnson; Oscar Isaac; Jason Schwartzman; Issa Rae; Daniel Kaluuya; Karan Soni; Shea Whigham; Greta Lee; Mahershala Ali; Amandla Stenberg; Jharrel Jerome; Andy Samberg; Jack Quaid; Rachel Dratch; Ziggy Marley; Jorma Taccone; J.K. Simmons; Donald Glover; Elizabeth Perkins; Kathryn Hahn; Ayo Edebiri; Nicole Delaney; Antonina Lentini; Atsuko Okatsuka; Peter Sohn; Melissa Sturm; Lorraine Velez; Nic Novicki; Taran Killam; Metro Boomin; Josh Keaton; Sofia Barclay; Danielle Perez; Yuri Lowenthal; Rita Rani Ahuja; Ismail Bashey; Oscar Camacho; Freddy Ferrari; Kerry Gutierrez; Kamal Khan; Angelo Sekou Kouyate; Andrew Leviton; David Michie; Sumit Naig; Juan Pacheco; Chrystee Pharris; Ben Pronsky; Al Rodrigo; Stan Sellers; Warren Sroka; Jasper Johannes Andrews; Gredel Berrios Calladine; Natalia Castellanos; Russell Tyre Francis; Deepti Gupta; Sohm Kapila; Pradnya Kuwadekar; Ashley London; Christopher Miller; Andrea Navedo; Lakshmi Patel; Jacqueline Pinol; Eliyas Qureshi; Lashana Rodriguez; Jaswant Dev Shrestha; Libby Thomas Dickey; Jason Linere-White; Sitara Attaie; Mayuri Bhandari; June Christopher; Michelle Jubilee Gonzalez; Marabina Jaimes; Rez Kempton; Lex Lang; Phil Lord; Richard Miro; Doug Nicholas; Shakira Ja'nai Paye; James Pirri; Marley Ralph; Michelle Ruff; Dennis Singletary; Amanda Troop; Ruth Zalduondo; Kimberly Bailey; Sanjay Chandani; Melanie Duke; Jorge R. Gutierrez; Miguel Jiron; Deepti Kingra-Mickelsen; Luisa Leschin; Caitlin McKenna; Andrew Morgado; Arthur Ortiz; Eliana A. Perez; Juan Pope; Mike Rianda; Erika Scopelli; Narender Sood; Cedric L. Williams; Kimiko Glenn";"Animation; Science Fiction; Adventure; Action";"https://letterboxd.com/film/spider-man-across-the-spider-verse/"
2024;"Challengers";3,86;"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Major champion. To jolt him out of his recent losing streak, she signs him up for a “Challenger” event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi’s former boyfriend.";"Luca Guadagnino";"Zendaya; Mike Faist; Josh O'Connor; Darnell Appling; Bryan Doo; Shane T Harris; Nada Despotovich; Joan Mcshane; Chris Fowler; Mary Joe Fernández; A.J. Lister; Connor Aulson; Doria Bramante; Christine Dye; James Sylva; Kenneth A. Osherow; Kevin Collins; Burgess Byrd; Jason Tong; Hudson Rivera; Noah Eisenberg; Emma Davis; Naheem Garcia; Alex Bancila; Jake Jensen; Konrad Ryba; Hailey Gates; Andrew Rogers; Beverly Kristenson Helton; Brad Gilbert; Sam Xu; Caleb Schneider";"Romance; Drama";"https://letterboxd.com/film/challengers/"
2023;"Saltburn";3,38;"Struggling to find his place at Oxford University, student Oliver Quick finds himself drawn into the world of the charming and aristocratic Felix Catton, who invites him to Saltburn, his eccentric family’s sprawling estate, for a summer never to be forgotten.";"Emerald Fennell";"Barry Keoghan; Jacob Elordi; Rosamund Pike; Richard E. Grant; Alison Oliver; Archie Madekwe; Carey Mulligan; Paul Rhys; Ewan Mitchell; Sadie Soverall; Richard Cotterell; Millie Kent; Will Gibson; Tasha Lim; Aleah Aberdeen; Matt Carver; Reece Shearsmith; Gabriel Bisset-Smith; Saga Spjuth-Säll; Glyn Grimstead; Joshua Samuels; Julian Lloyd Patten; Olivia Hanrahan-Barnes; Lolly Adefope; Joshua McGuire; Dorothy Atkinson; Shaun Dooley; Tomás Barry; Andy Brady";"Comedy; Drama; Thriller";"https://letterboxd.com/film/saltburn/"
2024;"Nosferatu";3,69;"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.";"Robert Eggers";"Lily-Rose Depp; Nicholas Hoult; Bill Skarsgård; Aaron Taylor-Johnson; Willem Dafoe; Emma Corrin; Ralph Ineson; Simon McBurney; Adéla Hesová; Milena Konstantinova; Stacy Thunes; Gregory Gudgeon; Robert Russell; Curtis Matthew; Claudiu Trandafir; Gherghina Bereghianu; Jordan Haj; Kateřina Bílá; Maria Ion; Tereza Dušková; Liana Navrot; Mihai Verbintschi; Karel Dobrý; Andrei Sergeev; Matěj Beneš; Marek Pospíchal; Jan Filipenský; Alex East; Christian Dunckley Clark; Andrea Miltner; Robin Finesilver; Paul Maynard; Charles Horne; Ella Bernstein; Meredith Digings";"Fantasy; Horror";"https://letterboxd.com/film/nosferatu-2024/"
2025;"Superman";3,88;"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.";"James Gunn";"David Corenswet; Rachel Brosnahan; Nicholas Hoult; Edi Gathegi; Nathan Fillion; Isabela Merced; María Gabriela de Faría; Skyler Gisondo; Alan Tudyk; Grace Chan; Bradley Cooper; Angela Sarafyan; Michael Rooker; Pom Klementieff; Sara Sampaio; Tatiana Piper; Stephen Blackehart; Giovannie Cruz; Bonnie Discepolo; Terence Rosemore; Natasha Halevi; Adriana Leonard; Paul Kim; Jonah Lees; Christian Lees; Dinesh Thyagarajan; Rudy Quintanilla; Ryan J. Pezdirc; Michael Ian Black; Wendell Pierce; Beck Bennett; Neva Howell; Pruitt Taylor Vince; Mikaela Hoover; Christopher McDonald; Zlatko Burić; Martin Harris; Frank Grillo; James Hiroyuki Liao; Tinashe Kajese; Luis R. Hernandez; Mary Chatmon; Savannah Lumar; Xingu Del Rosario; Lawrence Gilligan; Suzanne Hobbs; Kimmy Suzuki; Will Reeve; Jake Tapper; Ira Amyx; Abel F. Alvarado; Karla Suyeon Kim; Jay Westbrook; Nea Dune; Darla Delgado; Ashleigh Morghan; Anthony Carrigan; Trevor Newlin; Lon Gowan; Taylor Valentine Lupini; Paige Mobley; Zach Lane; Theo Kypri; Michael Rosenbaum; Alexis Prewitt; Bobby Hernandez; George Howard Adams; David E. Collier; Jimmy Chhiu; Louisa Krause; AJ Bernard; Alayna Bernard; Jai Soundar; Annika Mazumdar; Fahim Fazli; Chaim Jeraffi; Melissa O. Bowen; Torsten Kellar; Johanna Braddy; Austin Freeman; Kim Brunhuber; Sean Gunn; Sharon Carpenter; Greg Clarkson; Milli M.; Pierce Lackey; Oliver Diego Silva; Lloyd Kaufman; John Cena; Milly Alcock; Jennifer Holland; James Gunn";"Science Fiction; Adventure; Action";"https://letterboxd.com/film/superman-2025/"
2023;"Poor Things";3,96;"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.";"Yorgos Lanthimos";"Emma Stone; Mark Ruffalo; Willem Dafoe; Ramy Youssef; Christopher Abbott; Suzy Bemba; Jerrod Carmichael; Kathryn Hunter; Vicki Pepperdine; Hanna Schygulla; Margaret Qualley; Jack Barton; Charlie Hiscock; Attila Dobai; Emma Hindle; Anders Grundberg; Attila Kecskeméthy; Jucimar Barbosa; Carminho; Angela Paula Stander; Gustavo Gomes; Kate Handford; Owen Good; Zen Joshua Poisson; Vivienne Soan; Jerskin Fendrix; István Göz; Bruna Asdorian; Tamás Szabó Sipos; Tom Stourton; Mascuud Dahir; Miles Jovian; Jeremy Wheeler; János Geréb; Patrick de Valette; Raphaël Thiéry; Boris Gillot; Dorina Kovács; Yorgos Stefanakos; Hubert Benhamdine; Laurent Borel; Gábor Patay; Laurent Winkler; Andrew Hefler; Damien Bonnard; Noah Breton; Donovan Fouassier; Wayne Brett; John Locke; Keeley Forsyth; David Bromley; Celina Schleicher; Roderick Hill";"Romance; Science Fiction; Comedy";"https://letterboxd.com/film/poor-things-2023/"
2022;"The Menu";3,52;"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.";"Mark Mylod";"Anya Taylor-Joy; Ralph Fiennes; Nicholas Hoult; Janet McTeer; Paul Adelstein; Rob Yang; Aimee Carrero; John Leguizamo; Arturo Castro; Reed Birney; Hong Chau; Judith Light; Mark St. Cyr; Rebecca Koon; Peter Grosz; Christina Brucato; Adam Aalderks; Jon Paul Allyn; Mel Fair; Cristian Gonzalez; Matthew Cornwell; John Wilkins III; John Cola; Michael A. Dean; Marcus Aveons Duncan; Alexander Goldstein; Grant Henley; Rachel Trautmann; Victor Zheng; Michael Neal; Brandon Herron; Jay Shadix; Melisa Lopez; Elbert Kim";"Comedy; Thriller; Horror";"https://letterboxd.com/film/the-menu-2022/"
2024;"Anora";3,83;"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.";"Sean Baker";"Mikey Madison; Mark Eydelshteyn; Yura Borisov; Karren Karagulian; Vache Tovmasyan; Luna Sofía Miranda; Lindsey Normington; Darya Ekamasova; Aleksey Serebryakov; Anton Bitter; Ivy Wolk; Vlad Mamai; Maria Tichinskaya; Paul Weissman; Emily Weider; Vincent Radwinsky; Brittney Rodriguez; Sophia Carnabuci; Ella Rubin; Ross Brodar; Zoë Vnak; Morgan Charlton; Nazar Khamis; Charles Jang; Lana Svidonovich; Masha Zhak; Sebastian Conelli; Irina Finley; Mariana Orozco Arango; Artyom Trubnikov; Michael Sergio; Charlton Lamar; Mickey O'Hagan";"Drama; Romance; Comedy";"https://letterboxd.com/film/anora/"
2021;"Spider-Man: No Way Home";3,83;"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.";"Jon Watts";"Tom Holland; Zendaya; Benedict Cumberbatch; Jacob Batalon; Jon Favreau; Jamie Foxx; Willem Dafoe; Alfred Molina; Benedict Wong; Tony Revolori; Marisa Tomei; Andrew Garfield; Tobey Maguire; Angourie Rice; Arian Moayed; Paula Newsome; Hannibal Buress; Martin Starr; JB Smoove; J.K. Simmons; Rhys Ifans; Charlie Cox; Thomas Haden Church; Haroon Khan; Emily Fong; Mary Rivera; Rudy Eisenzopf; Kathleen Cardoso; Jonathan Sam; Andrew Dunlap; Zany Dunlap; B. Clutch Dunlap; Minnah Dunlap; Ben VanderMey; Gary Weeks; Gregory Konow; Carol Anne Dines; Anisa Nyell Johnson; Willie D. Burton; Mallory Hoff; Greg Clarkson; Regina Ting Chen; Robert Mitchel Owenby; Glenn Keogh; Paris Benjamin; Jwaundace Candece; Taylor St. Clair; Rolando Fernandez; Gabriella Cila; Darnell Appling; Edward Force; Michael Le; Dean Meminger; Frederick A. Brown; Cristo Fernández; Clay Savage; Tom Hardy; Jay Karales; Harry Holland; John M. Maiers; Robert Tinsley; Cole Failing; Justin East";"Adventure; Action; Science Fiction";"https://letterboxd.com/film/spider-man-no-way-home/"
